term	dominance
infallibly	1.000
supremeness	1.000
valiance	1.000
trailblazer	1.000
expertly	1.000
high performance	1.000
lawgiving	1.000
furies	1.000
exploiter	1.000
destructivity	1.000
linchpin	1.000
imperishable	1.000
remilitarization	1.000
agamemnon	1.000
furiousness	1.000
combativeness	1.000
absolutist	1.000
plutocracy	1.000
nonnegotiable	1.000
mercilessness	1.000
chieftainship	1.000
assertiveness	1.000
imperiously	1.000
plutocrat	1.000
mightiness	1.000
bloodsucking	1.000
might	1.000
usurpation	1.000
enfranchisement	1.000
colossus	1.000
warmonger	1.000
vengefulness	1.000
choirmaster	1.000
omniscience	1.000
amazon	1.000
torturer	1.000
optimize	1.000
fraudster	1.000
rapaciously	1.000
authoritarianism	1.000
gold medalist	1.000
patriarchic	1.000
retaliator	1.000
unconquerable	1.000
unshakable	1.000
bravest	1.000
chiefdom	1.000
militarist	1.000
insurrectional	1.000
almightily	1.000
bloodthirstiness	1.000
highjack	1.000
subjugator	1.000
headman	1.000
masterfully	1.000
megalomania	1.000
intimidator	1.000
tractability	1.000
hierarch	1.000
administrate	1.000
dauntlessly	1.000
entrepreneurship	1.000
brainwasher	1.000
chancellorship	1.000
competently	1.000
transformational	1.000
influentially	1.000
gangbuster	1.000
terrorization	1.000
achiever	1.000
murderousness	1.000
tyrannosaurus	1.000
dominative	1.000
matricidal	1.000
megalomaniac	1.000
unvanquished	1.000
presidentially	1.000
besieger	1.000
magisterially	1.000
incoercible	1.000
win win	1.000
decider	1.000
discipliner	1.000
powerfulness	1.000
upraise	1.000
obliterator	1.000
regimentation	1.000
resourcefulness	1.000
grandmaster	1.000
annihilative	1.000
indomitability	1.000
ineradicable	1.000
industriousness	1.000
ruthlessness	1.000
decapitator	1.000
fearlessness	1.000
taskmaster	1.000
submachine	1.000
buyout	1.000
commissar	1.000
indomitably	1.000
policymaker	1.000
belligerency	1.000
imperialism	1.000
dominantly	1.000
swordsmanship	1.000
authoritarian	1.000
preeminence	1.000
lethal	1.000
cryptographer	1.000
barbwire	1.000
victoriously	1.000
terroristic	1.000
pressurize	1.000
phenom	1.000
geopolitics	1.000
determinedness	1.000
megalomaniacal	1.000
successfulness	1.000
multimillionaire	1.000
persecutor	1.000
deterrence	1.000
spearhead	1.000
volcanically	1.000
incontrovertibility	1.000
autonomously	1.000
lawgiver	1.000
orchestrator	1.000
infallibleness	1.000
superset	1.000
dominator	1.000
berserker	1.000
oligarch	1.000
regally	1.000
masterstroke	1.000
coercionist	1.000
strikebreaker	1.000
liberator	1.000
decisiveness	1.000
undefeatable	1.000
incontrovertibly	1.000
silverback	1.000
matriarch	1.000
punisher	1.000
mastership	1.000
intrepidly	1.000
supergiant	1.000
rulemaking	1.000
vanquisher	1.000
pounced	1.000
hegemony	1.000
breadwinner	1.000
powerbroker	1.000
royally	1.000
emancipate	1.000
heroically	1.000
autocracy	1.000
emperorship	1.000
shogun	1.000
trounce	1.000
governance	1.000
inflictor	1.000
compeller	1.000
strategically	1.000
unrivalled	1.000
eminency	1.000
totalitarian	1.000
hypercompetitive	1.000
knifeman	1.000
outwrestle	1.000
governorship	1.000
outperform	1.000
irrevocability	1.000
blitzkrieg	1.000
steamroll	1.000
illuminati	1.000
ascendency	1.000
dauntless	1.000
autocratically	1.000
great power	1.000
kinglike	1.000
entrepreneurial	1.000
monarchical	1.000
impregnability	1.000
powerbase	1.000
unbreakably	1.000
unimpeachably	1.000
multibillion	1.000
centralism	1.000
nazism	1.000
unrivaled	1.000
megastar	1.000
headsman	1.000
militarily	1.000
monopolistic	1.000
viper	1.000
antidemocratic	1.000
assaulter	1.000
expansionism	1.000
unassailable	1.000
perpetuator	1.000
prodigiously	1.000
preponderant	1.000
invincibleness	1.000
headmastership	1.000
slaveholding	1.000
almightiness	1.000
usurper	1.000
wolfishness	1.000
triumphantly	1.000
uninfringeable	1.000
airpower	1.000
imperialistic	1.000
authoritatively	1.000
micromanipulation	1.000
shipmaster	1.000
dreadnought	1.000
autonomous	1.000
prestigiously	1.000
invulnerability	1.000
slaveholder	1.000
deification	1.000
purposefully	1.000
godhead	1.000
invincibility	1.000
ironfisted	1.000
erosive	1.000
inconquerable	1.000
inarguable	1.000
spellbinder	1.000
enslaver	1.000
kingliness	1.000
relentlessness	1.000
conquerer	1.000
ironman	1.000
totalitarianism	1.000
dignitary	1.000
huge success	1.000
tyrannize	1.000
lordly	1.000
captainship	1.000
outplay	1.000
caustic	1.000
mutilator	1.000
tyrannically	1.000
clericalism	1.000
regality	1.000
ruled	1.000
demigoddess	1.000
innovator	1.000
pugnacity	1.000
autocrat	1.000
monarchial	1.000
premiership	1.000
titans	1.000
luminary	1.000
supercontinent	1.000
headship	1.000
chauvinism	1.000
inexorable	1.000
tsar	1.000
potentate	1.000
indestructibleness	1.000
crackdown	1.000
formidableness	1.000
megaton	1.000
drillmaster	1.000
hierarchal	1.000
fuhrer	1.000
empowerment	1.000
kremlin	1.000
unbeatably	1.000
banned	1.000
disciplinarian	1.000
nasa	1.000
bellower	1.000
thinktank	1.000
imperiousness	1.000
assertively	1.000
excommunicator	1.000
indispensability	1.000
homophobe	1.000
ironhanded	1.000
bigwig	1.000
counterstrike	1.000
tyrannous	1.000
indispensableness	1.000
godlikeness	1.000
excalibur	1.000
bandleader	1.000
inviolable	1.000
emancipator	1.000
multimillion	1.000
incompressible	1.000
gunrunner	1.000
egomania	1.000
deity	1.000
thermonuclear	1.000
herculean	1.000
fortissimo	1.000
bullwhip	1.000
waylay	1.000
kingship	1.000
absolutism	1.000
nitroglycerine	1.000
lawmaker	1.000
interceptor	1.000
superintend	1.000
unshakeable	1.000
magisterial	1.000
invulnerably	1.000
plutocratic	1.000
unsurpassable	1.000
counterterrorist	1.000
implacableness	1.000
sadism	1.000
overbear	1.000
dealmaker	1.000
machiavellism	1.000
strategies	1.000
apotheosis	1.000
dominancy	1.000
gestapo	1.000
earthmover	1.000
crosshair	1.000
admiralship	1.000
commandership	1.000
authoritativeness	1.000
maharajah	1.000
oligarchical	1.000
undisputable	1.000
stranglehold	1.000
militarism	1.000
superwoman	1.000
callously	1.000
dauntlessness	1.000
airforce	1.000
outgun	1.000
demonical	1.000
strongman	1.000
purposefulness	1.000
hitman	1.000
patriarchy	1.000
masterfulness	1.000
monopolize	1.000
brazenness	1.000
despotically	1.000
powerful	0.991
success	0.981
govern	0.980
supreme	0.974
president	0.973
winning	0.972
triumphant	0.972
presidential	0.972
conquer	0.971
strengthen	0.971
superpower	0.967
chairperson	0.966
brainpower	0.963
pulverization	0.963
castled	0.963
incontestable	0.963
bushfire	0.963
intoxicator	0.963
fearsomely	0.963
megawatt	0.963
omnificent	0.963
coercer	0.963
opulently	0.963
fortitudinous	0.963
indispensably	0.963
landowner	0.963
extraordinariness	0.963
repower	0.963
entrench	0.963
inexorability	0.963
carjacker	0.963
monstrously	0.963
brutally	0.963
