term	valence
devotedness	1.000
goodhearted	1.000
kindliness	1.000
superbly	1.000
infallibly	1.000
geniality	1.000
winsomely	1.000
felicitation	1.000
trailblazer	1.000
enjoyableness	1.000
deftly	1.000
lighthearted	1.000
exaltedly	1.000
scrumptiousness	1.000
chummily	1.000
timesaving	1.000
deliciousness	1.000
robustness	1.000
successfully	1.000
irreprehensible	1.000
appropriateness	1.000
comeliness	1.000
faithfully	1.000
grazie	1.000
sinless	1.000
luminously	1.000
serendipitous	1.000
bodacious	1.000
empathetic	1.000
valorous	1.000
imperishable	1.000
loyally	1.000
exonerative	1.000
prettier	1.000
liveliness	1.000
unexcelled	1.000
prizewinning	1.000
gratefulness	1.000
creatorship	1.000
peacekeeping	1.000
omnificent	1.000
playfulness	1.000
beneficent	1.000
samaritan	1.000
exuberant	1.000
divineness	1.000
fulfiller	1.000
immaculateness	1.000
untarnished	1.000
solver	1.000
coherently	1.000
neighborliness	1.000
lifesaving	1.000
blissfulness	1.000
sunlit	1.000
unshackle	1.000
jubilancy	1.000
gracefully	1.000
steadiness	1.000
jubilance	1.000
mouthwatering	1.000
mightiness	1.000
painlessly	1.000
lucratively	1.000
bedazzlement	1.000
hearten	1.000
forgave	1.000
scintillate	1.000
nurturer	1.000
affableness	1.000
hospitableness	1.000
grandly	1.000
efficaciousness	1.000
enviable	1.000
delightedly	1.000
phenomenally	1.000
ardently	1.000
wins	1.000
wondrousness	1.000
mercifulness	1.000
likeability	1.000
appreciativeness	1.000
omniscience	1.000
hopefulness	1.000
superconductivity	1.000
lionhearted	1.000
benevolently	1.000
astounding	1.000
healthiness	1.000
optimize	1.000
ladylove	1.000
pacifism	1.000
multitalented	1.000
vivaciously	1.000
patisserie	1.000
advantageousness	1.000
sanguineness	1.000
rescued	1.000
very positive	1.000
famousness	1.000
indestructibility	1.000
unarguable	1.000
greathearted	1.000
exculpable	1.000
bravest	1.000
jubilate	1.000
appreciatory	1.000
imperturbable	1.000
readable	1.000
enthusiastically	1.000
apostolate	1.000
regretless	1.000
tahiti	1.000
absolver	1.000
almightily	1.000
jolliness	1.000
exemplarily	1.000
dependably	1.000
brill	1.000
bountifulness	1.000
honeymooner	1.000
responsibly	1.000
credibleness	1.000
virtuously	1.000
agreeability	1.000
fertileness	1.000
dexterous	1.000
promotable	1.000
topnotch	1.000
bounteous	1.000
